epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,28843.6,1.02867,3.70521,0.25224,0.7299,1.18275,0.94113,0.99936,0.98243,0.70227,0.91137,0.96959,0.94453,0.28723,1.00752,2.99216,0.12433,0.55796,1.2126,0.000990125,0.000990125,0.000990125
65,29267.9,0.98858,3.795,0.22152,0.69061,1.12098,0.93714,0.99562,0.9727,0.71326,0.92295,0.98156,0.95454,0.3404,1.00771,2.85037,0.14206,0.54016,1.19307,0.000986,0.000986,0.000986
66,29693.2,0.96435,3.59132,0.23317,0.63832,1.13452,0.96996,0.97011,0.99043,0.72376,0.96105,0.96117,0.98392,0.34457,1.0212,2.87435,0.10607,0.52152,1.19412,0.000981875,0.000981875,0.000981875
67,30116.9,1.0239,3.71758,0.22919,0.70924,1.16224,0.96289,0.96752,0.98907,0.7135,0.94838,0.95338,0.97239,0.33115,1.0148,2.87928,0.10444,0.54506,1.20177,0.00097775,0.00097775,0.00097775
68,30543.1,1.04226,3.73077,0.22746,0.7256,1.18183,0.85637,0.98376,0.92938,0.66723,0.83696,0.96441,0.91222,0.31687,1.0195,2.88592,0.11203,0.608,1.19803,0.000973625,0.000973625,0.000973625
69,30967.8,1.0269,3.66218,0.22533,0.7063,1.14836,0.91983,0.97623,0.95074,0.6945,0.90334,0.95605,0.93113,0.3198,0.99366,2.89837,0.11924,0.58866,1.26418,0.0009695,0.0009695,0.0009695
70,31399.4,1.01146,3.71351,0.22442,0.69068,1.15069,0.90611,0.93633,0.97523,0.71009,0.89759,0.92752,0.9681,0.36362,0.99265,2.74914,0.10008,0.58127,1.19689,0.000965375,0.000965375,0.000965375
71,31838.8,1.02538,3.62276,0.21622,0.70378,1.16748,0.92681,0.94111,0.94055,0.6838,0.91807,0.93218,0.93327,0.33562,1.01385,2.78585,0.07548,0.54334,1.24272,0.00096125,0.00096125,0.00096125
72,32268,0.98751,3.63441,0.22395,0.6462,1.14768,0.90055,0.96389,0.9793,0.69228,0.88649,0.94974,0.95853,0.31524,1.03702,2.92122,0.08929,0.58394,1.21487,0.000957125,0.000957125,0.000957125
73,32692.3,1.00918,3.6525,0.21082,0.65357,1.14055,0.97034,0.9582,0.98872,0.70129,0.94204,0.92999,0.94782,0.316,1.05137,3.02653,0.10531,0.53627,1.27269,0.000953,0.000953,0.000953
74,33117.3,1.01772,3.77309,0.23382,0.68034,1.1447,0.96785,0.99265,0.98856,0.71866,0.94862,0.97329,0.95852,0.34203,1.01978,2.93229,0.1027,0.51869,1.2575,0.000948875,0.000948875,0.000948875
75,33543.3,1.01322,3.69058,0.23201,0.69206,1.14035,0.92126,0.9813,0.98997,0.68638,0.89035,0.94641,0.93423,0.33948,1.11033,2.78335,0.10966,0.58465,1.26508,0.00094475,0.00094475,0.00094475
76,33972.2,0.97315,3.67214,0.2177,0.66811,1.1351,0.92626,0.99829,0.96925,0.69956,0.90194,0.97373,0.93458,0.32674,0.98868,2.75599,0.08477,0.53902,1.17737,0.000940625,0.000940625,0.000940625
77,34400.1,1.03524,3.62884,0.22422,0.6893,1.14572,0.94312,0.99897,0.97765,0.7114,0.92377,0.97961,0.9483,0.31984,1.00449,2.85022,0.10438,0.55394,1.1759,0.0009365,0.0009365,0.0009365
78,34827.6,1.021,3.75329,0.22132,0.67995,1.16471,0.93877,0.98419,0.98829,0.72296,0.92992,0.97525,0.97909,0.36504,1.01937,2.75517,0.11514,0.53479,1.20587,0.000932375,0.000932375,0.000932375
79,35260.7,0.9681,3.65938,0.21754,0.62961,1.13361,0.9491,0.98918,0.99316,0.71109,0.93646,0.97655,0.97968,0.36144,1.02862,2.87509,0.10992,0.54598,1.25714,0.00092825,0.00092825,0.00092825
80,35685.6,1.03379,3.66115,0.20994,0.69361,1.14991,0.9472,0.99589,0.9887,0.70952,0.93843,0.98695,0.98216,0.41621,1.04908,2.5647,0.08697,0.54094,1.30304,0.000924125,0.000924125,0.000924125
81,36109.4,1.00156,3.60456,0.2155,0.65974,1.16625,0.99141,0.99808,0.99143,0.71181,0.98255,0.98914,0.98397,0.40522,1.06551,2.62903,0.09473,0.52128,1.25827,0.00092,0.00092,0.00092
82,36535.3,1.00154,3.57149,0.23288,0.67366,1.14417,0.98345,0.97964,0.99206,0.71916,0.97442,0.97082,0.98278,0.35224,1.0164,2.74761,0.0997,0.52709,1.24421,0.000915875,0.000915875,0.000915875
83,36959.8,1.00698,3.63103,0.20351,0.65155,1.15795,0.89701,0.99253,0.98299,0.72236,0.88351,0.97838,0.96227,0.37931,0.9938,2.70895,0.10188,0.55272,1.15664,0.00091175,0.00091175,0.00091175
84,37384.1,0.98759,3.67899,0.21246,0.69005,1.12914,0.94906,0.97948,0.97709,0.72021,0.93648,0.96684,0.96411,0.34061,0.96601,2.86124,0.10491,0.54498,1.17091,0.000907625,0.000907625,0.000907625
85,37809.1,0.96477,3.64167,0.20817,0.66054,1.14174,0.93179,0.97459,0.97586,0.69349,0.9229,0.96565,0.96895,0.33217,1.02671,2.88716,0.09888,0.55341,1.20366,0.0009035,0.0009035,0.0009035
86,38241.6,0.97822,3.57984,0.20588,0.64253,1.15407,0.95361,0.98011,0.98573,0.73857,0.94499,0.97117,0.97698,0.37779,0.95789,2.70508,0.09219,0.52036,1.16217,0.000899375,0.000899375,0.000899375
87,38673.9,0.97364,3.64168,0.2091,0.62209,1.14812,0.94706,0.98345,0.962,0.71302,0.93303,0.9693,0.94363,0.33983,0.96089,2.75033,0.09925,0.5339,1.16717,0.00089525,0.00089525,0.00089525
88,39101,0.99874,3.55875,0.20423,0.62138,1.14839,0.94731,0.98108,0.95008,0.7095,0.93325,0.96693,0.93488,0.32589,0.97448,2.81855,0.09011,0.50134,1.17536,0.000891125,0.000891125,0.000891125
89,39525.3,1.01306,3.44414,0.19933,0.65106,1.15997,0.93356,0.97953,0.95004,0.69457,0.91954,0.96539,0.93066,0.34022,0.99844,2.73969,0.09799,0.50674,1.19952,0.000887,0.000887,0.000887
90,39950.4,0.96408,3.50751,0.20358,0.60926,1.13806,0.95124,0.98529,0.95123,0.70864,0.93188,0.96594,0.92202,0.33879,0.99606,2.84884,0.09278,0.49859,1.22171,0.000882875,0.000882875,0.000882875
91,40377.3,0.97079,3.52097,0.20845,0.61324,1.13019,0.95093,0.97731,0.97584,0.70704,0.9365,0.96316,0.95098,0.33571,1.02038,2.90222,0.08976,0.55271,1.18621,0.00087875,0.00087875,0.00087875
92,40807.7,0.99504,3.6036,0.18423,0.61039,1.15114,0.9126,0.9866,0.97147,0.73094,0.9036,0.97766,0.96301,0.37168,0.96661,2.75781,0.08409,0.51555,1.17302,0.000874625,0.000874625,0.000874625
93,41234.3,0.95299,3.67225,0.19686,0.60073,1.12222,0.94687,0.9846,0.99313,0.75689,0.93785,0.97566,0.98534,0.37598,0.98443,2.73275,0.08589,0.49994,1.17244,0.0008705,0.0008705,0.0008705
94,41665.3,0.96414,3.46996,0.20828,0.60301,1.14825,0.98863,0.98873,0.99372,0.74194,0.97979,0.97979,0.98505,0.40863,1.00199,2.64958,0.08397,0.51276,1.16969,0.000866375,0.000866375,0.000866375
95,42098.8,0.98236,3.47525,0.20552,0.62725,1.1424,0.94973,0.98046,0.98983,0.73459,0.94075,0.97152,0.98101,0.38243,0.94545,2.67008,0.0877,0.49673,1.17274,0.00086225,0.00086225,0.00086225
96,42531.4,0.96169,3.4954,0.20322,0.60929,1.11934,0.96282,0.98728,0.98898,0.73119,0.95386,0.97834,0.97959,0.37294,1.00058,2.76156,0.09939,0.50592,1.18249,0.000858125,0.000858125,0.000858125
97,42956.5,0.97077,3.61745,0.19546,0.60068,1.13254,0.96836,0.99121,0.98974,0.72245,0.95951,0.98241,0.98156,0.3516,0.99957,2.83955,0.08934,0.49546,1.17302,0.000854,0.000854,0.000854
98,43381,0.96123,3.51747,0.2017,0.61017,1.13111,0.9912,0.97042,0.99056,0.7274,0.98234,0.96148,0.98336,0.36177,0.97869,2.77157,0.09048,0.48985,1.16412,0.000849875,0.000849875,0.000849875
